analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
40,20,false,,0.2016939726874124,0.154605393180638,-0.06257687528423966,5,1,1.0,33.0,0.3756631299734748,0.05172413793103448,0.196,38,2063,0.15,0.25,30
50,25,true,,0.1571404846221708,0.2739533826065433,0.13493854562468902,29,35,4.0,46.0,0.9018783291281188,0.2127838519764508,0.2672,38,2063,0.15,0.25,30
20,10,false,,0.11871008524449962,0.20512505452219476,0.09689234106125164,13,16,2.1500000000000057,19.0,0.6917154296273483,0.0,0.3114,39,2064,0.15,0.25,30
30,15,true,,0.13967569395994084,0.36110844910845913,0.23851056678276805,22,26,2.0,29.0,0.7288565093443142,0.1853025023756731,0.2862,39,2064,0.15,0.25,30
20,10,false,,0.1946603244786824,0.1610248116291736,-0.04279482343658367,7,2,1.0,19.0,0.4473603906011596,0.0,0.2978,40,2065,0.15,0.25,30
30,15,false,,0.16503744531464465,0.24508656733104223,0.11086729242421993,22,26,1.0,29.0,0.6893054701905347,0.2105101413644745,0.2638,40,2065,0.15,0.25,30
40,20,false,,0.17410099427320044,0.1868129363224875,0.02337463842955076,11,6,2.0,37.0,0.5866481223922114,0.13518776077885952,0.2558,40,2065,0.15,0.25,30
50,25,true,,0.18674620135223927,0.4054938803037073,0.22996385652453188,35,35,1.0,48.0,0.7875321704317987,0.11838718901915928,0.2336,40,2065,0.15,0.25,30
20,10,false,,0.21037318011721257,0.11370338131455959,-0.11143835933228374,6,3,1.0,18.0,0.25255255255255254,0.0,0.2984,41,2066,0.15,0.25,30
30,15,false,,0.1505152217024095,0.1741939098136551,0.04739739647454695,15,26,1.0,29.0,0.5833067856005097,0.16629499840713602,0.2744,41,2066,0.15,0.25,30
40,20,false,,0.15400727553129712,0.18057394183430686,0.06863587239535979,28,35,1.0,39.0,0.5845839017735335,0.13096862210095497,0.2086,41,2066,0.15,0.25,30
